loko,0.0.0,(scheme base),ERROR,eof-object?,
loko,0.0.0,(scheme base),ERROR,eq?,symbols
loko,0.0.0,(scheme base),ERROR,eq?,different lists
loko,0.0.0,(scheme base),ERROR,eq?,null
loko,0.0.0,(scheme base),ERROR,eq?,function
loko,0.0.0,(scheme base),ERROR,eq?,vector
loko,0.0.0,(scheme base),ERROR,eq?,same function
loko,0.0.0,(scheme base),ERROR,equal?,symbols
loko,0.0.0,(scheme base),ERROR,equal?,lists
loko,0.0.0,(scheme base),ERROR,equals?,strings
loko,0.0.0,(scheme base),ERROR,equals?,vectors
loko,0.0.0,(scheme base),ERROR,equals?,cyclic list with set-cdr
loko,0.0.0,(scheme base),ERROR,equals?,cyclic list literal
loko,0.0.0,(scheme base),ERROR,eqv?,true
loko,0.0.0,(scheme base),ERROR,eqv?,false
loko,0.0.0,(scheme base),ERROR,eqv?,symbol
loko,0.0.0,(scheme base),ERROR,eqv?,integer
loko,0.0.0,(scheme base),ERROR,eqv?,real
loko,0.0.0,(scheme base),ERROR,eqv?,char
loko,0.0.0,(scheme base),ERROR,eqv?,null
loko,0.0.0,(scheme base),ERROR,eqv?,pair
loko,0.0.0,(scheme base),ERROR,eqv?,vector
loko,0.0.0,(scheme base),ERROR,eqv?,string
loko,0.0.0,(scheme base),ERROR,eqv?,bytevector
loko,0.0.0,(scheme base),ERROR,eqv?,function
loko,0.0.0,(scheme base),ERROR,eqv?,different booleans
loko,0.0.0,(scheme base),ERROR,eqv?,different symbols
loko,0.0.0,(scheme base),ERROR,eqv?,integer and real
loko,0.0.0,(scheme base),ERROR,eqv?,different integers
loko,0.0.0,(scheme base),ERROR,eqv?,different chars
loko,0.0.0,(scheme base),ERROR,eqv?,different list literals
loko,0.0.0,(scheme base),ERROR,eqv?,different lists
loko,0.0.0,(scheme base),ERROR,eqv?,different vectors
loko,0.0.0,(scheme base),ERROR,eqv?,different strings
loko,0.0.0,(scheme base),ERROR,eqv?,different bytevectors
loko,0.0.0,(scheme base),ERROR,error,
loko,0.0.0,(scheme base),ERROR,error-object-irritants,
loko,0.0.0,(scheme base),ERROR,error-object-message,
loko,0.0.0,(scheme base),ERROR,error-object?,
